cep,cidade
57084033,Maceió
57084033,Maceió
29050680,Vitória
28893549,Rio das Ostras
08140060,São Paulo
08140060,São Paulo
08140060,São Paulo
08140060,São Paulo
60425812,Fortaleza
60425812,Fortaleza
25963690,Teresópolis
65056010,São Luís
65082403,São Luís
68738000,Santa Maria do Pará
55900000,Goiana
55900000,Goiana
13098650,Campinas
08840000,Mogi das Cruzes
38410650,Uberlândia
08840000,Mogi das Cruzes
38410650,Uberlândia
38410650,Uberlândia
38410650,Uberlândia
78200000,Cáceres
58400000,
49000560,Aracaju
09726120,São Bernardo do Campo
88840000,Urussanga
02812090,São Paulo
05774260,São Paulo
51011360,Recife
29056245,Vitória
60410226,Fortaleza
69919697,Rio Branco
52050005,Recife
60410226,Fortaleza
03921040,São Paulo
88840000,Urussanga
69900391,Rio Branco
88840000,Urussanga
58400000,
71201960,Brasília
29060030,Vitória
29060030,Vitória
88840000,Urussanga
71201960,Brasília
60182490,Fortaleza
74982130,Aparecida de Goiânia
38414050,Uberlândia
60425812,Fortaleza
70866060,Brasília
29450000,Apiacá
70866060,Brasília
50610250,Recife
04571210,São Paulo
38900000,Bambuí
35700742,Sete Lagoas
12242020,São José dos Campos
88840000,Urussanga
69919124,Rio Branco
40391402,Salvador
74855050,Goiânia
61654125,Caucaia
03589000,São Paulo
89610000,Herval D'Oeste
41515272,Salvador
60742110,Fortaleza
60425812,Fortaleza
60742110,Fortaleza
35520138,Nova Serrana
29101782,Vila Velha
58400000,
52280514,Recife
35420000,Mariana
09190130,Santo André
90630060,Porto Alegre
74491718,Goiânia
29060445,Vitória
69919784,Rio Branco
20011000,Rio de Janeiro
11702790,Praia Grande
58400000,
11702790,Praia Grande
53437100,Paulista
50620510,Recife
52090380,Recife
88840000,Urussanga
76190000,Palmeiras de Goiás
64057378,Teresina
11060230,Santos
64800000,
58025090,João Pessoa
29060030,Vitória
87560000,Iporã
58400000,
46100000,Brumado
60442642,Fortaleza
58045040,João Pessoa
57083410,Maceió
58025090,João Pessoa
68440000,Abaetetuba
